"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"Runecrafting potion (4)",549,549,549,549,572,572,572,572
"Runite bolts",158,159,161,161,160,170,170,170
"Runite crossbow (u)",8398,8398,8398,8398,8398,8398,8398,8398
"Runite ore",1760,1733,1675,1675,1683,1675,1675,1675
"Runite stone spirit",544,537,567,567,579,561,561,561
"Runny honeycomb",18,18,18,18,18,18,18,18
"Sack of effigies",1900000,1900000,1900000,1900000,2e+06,2e+06,2e+06,2e+06
"Sacred oil (1)",5076,5076,5076,5076,5076,5076,5076,5076
"Sacred oil (2)",7068,7068,7068,7068,7068,7254,7254,7254
"Sacred oil (3)",12000,12000,12000,12000,12000,12400,12400,12400
"Sacred oil (4)",17400,17400,17400,17400,17400,17400,17400,17400
"Sagaie",499,499,499,499,499,499,499,499
"Sailfish",5891,5837,5763,5763,5862,5893,5893,5893
"Sailfish soup",17000,17000,16900,16900,16900,17700,17700,17700
"Salmon",60,60,59,59,58,56,56,56
"Saltwater mud",1033,1033,992,992,950,872,872,872
"Samaden potion (unf)",17300,17300,17300,17300,17300,17300,17300,17300
"Sameowrai's bow token",927900,927900,927900,927900,927900,927900,927900,927900
"Sameowrai's breastplate ...",2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000
"Sameowrai's cata-nya tok...",7500000,7500000,7500000,7500000,7500000,7500000,7500000,7500000
"Sameowrai's faulds token...",1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000
"Sameowrai's gauntlets to...",758300,758300,758300,758300,758300,758300,758300,758300
"Sameowrai's helmet token...",3800000,3800000,3800000,3800000,3800000,3800000,3800000,3800000
"Sameowrai's tabi token",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Samite silk",1169,1169,1164,1164,1168,1212,1212,1212
"Sample bottle",99,98,98,98,98,98,98,98
"Samurai kasa",710000,710000,742000,742000,742000,742000,742000,742000
"Sand dive teleport token...",151100,151100,151100,151100,151100,151100,151100,151100
"Sand dunk resting emote ...",8685,8685,8685,8685,8685,8685,8685,8685
"Sandcastle companion pet...",51500,51500,51500,51500,51500,51500,51500,51500
"Sandstone (10kg)",1707,1780,1780,1780,1852,1852,1852,1852
"Sandstone (1kg)",22,22,22,22,22,22,22,22
"Sandstone (2kg)",50,50,50,50,50,53,53,53
"Sandstone (5kg)",162,171,171,171,171,171,171,171
"Sandstorm scroll",147,147,147,147,147,147,147,147
"Sandy 2h sword override ...",94700,94700,94700,94700,94700,94700,94700,94700
"Sandy club override toke...",4545,4545,4545,4545,4545,4545,4545,4545
"Sandy maul override toke...",8764,8764,8764,8764,8764,10600,10600,10600
"Sandy sandwich rest over...",286100,286100,348000,348000,348000,348000,348000,348000
"Sanfew serum (1)",4021,4021,4021,4021,4021,4021,4021,4021
"Sanfew serum (2)",3264,3264,3264,3264,3264,3264,3264,3264
"Sanfew serum (3)",5144,5144,5144,5144,5144,5144,5144,5144
"Sanfew serum (4)",6208,6208,6208,6208,6208,6208,6208,6208
"Sanfew serum flask (6)",19000,19000,19000,19000,19000,19000,19000,19000
"Santa claws token",1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
"Santa hat",2e+09,2e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09
"Santa paws token",8400000,8400000,8400000,8400000,8400000,8400000,8400000,8400000
"Sapphire",447,458,468,468,478,504,504,504
"Sapphire amulet",678,703,NA,NA,NA,NA,NA,NA
"Sapphire bakriminel bolt...",672,672,1125,1125,1125,1125,1125,1125
"Sapphire bolt tips",12,12,12,12,12,12,12,12
"Sapphire bolts",52,52,52,52,52,51,51,51
"Sapphire bolts (e)",90,90,90,90,90,90,90,90
"Sapphire bracelet",NA,NA,NA,NA,NA,NA,NA,NA
"Sapphire glacialis",166,166,166,166,166,166,166,166
"Sapphire necklace",NA,NA,NA,NA,NA,NA,NA,NA
"Sapphire ring",NA,NA,NA,NA,NA,NA,NA,NA
"Saradomin arrows",78,78,76,76,76,76,76,76
"Saradomin bow",730300,730300,765800,765800,765800,803200,803200,803200
"Saradomin brew (1)",4432,4432,4541,4541,4541,4541,4541,4541
"Saradomin brew (2)",9956,9956,9458,9458,9051,8994,8994,8994
"Saradomin brew (3)",13800,13400,13500,13500,13600,13600,13600,13600
"Saradomin brew (4)",19000,18600,18700,18700,18500,18300,18300,18300
"Saradomin brew flask (6)...",38200,37800,36400,36400,36400,37700,37700,37700
"Saradomin cloak",733000,733000,768200,768200,768200,805800,805800,805800
"Saradomin crozier",739200,739200,775300,775300,775300,813400,813400,813400
"Saradomin godsword",7600000,7600000,7900000,7900000,8300000,8700000,8700000,8700000
"Saradomin hilt",5800000,5800000,5800000,5800000,5800000,6e+06,6e+06,6e+06
"Saradomin hilt shard",79200,79200,79200,79200,79200,79200,79200,79200
"Saradomin mitre",698300,698300,729600,729600,729600,729600,729600,729600
"Saradomin page 1",252100,252100,248400,248400,243200,236700,236700,236700
"Saradomin page 2",224700,224700,221500,221500,214800,206800,206800,206800
"Saradomin page 3",218900,218900,214100,214100,207700,203700,203700,203700
"Saradomin page 4",222000,217100,213800,213800,208100,201500,201500,201500
"Saradomin robe legs",630500,630500,659900,659900,659900,659900,659900,659900
"Saradomin robe top",668000,668000,700200,700200,700200,700200,700200,700200
"Saradomin stole",755700,755700,793100,793100,793100,832000,832000,832000
"Saradomin sword",497200,497200,509000,509000,509000,507900,507900,507900
"Saradomin sword shard",1591,1591,1591,1591,1591,1591,1591,1591
"Saradomin's blessing (1)...",2154,2154,2154,2154,2154,2154,2154,2154
"Saradomin's blessing (2)...",3882,3882,3882,3882,3882,3882,3882,3882
"Saradomin's blessing (3)...",56100,56100,56100,56100,56100,56100,56100,56100
"Saradomin's blessing (4)...",31100,31100,31100,31100,31100,31100,31100,31100
"Saradomin's blessing fla...",50000,50000,50000,50000,50000,50000,50000,50000
"Saradomin's hiss",173800,173800,170600,170600,170600,170600,170600,170600
"Saradomin's hiss shard",1151,1151,1151,1151,1151,1151,1151,1151
"Saradomin's murmur",778700,778700,773800,773800,773800,772500,772500,772500
"Saradomin's murmur shard...",3001,3001,3001,3001,3001,3001,3001,3001
"Saradomin's whisper",163800,163800,163900,163900,163900,163300,163300,163300
"Saradomin's whisper shar...",21,21,21,21,21,21,21,21
"Saratrice egg",3449,3449,3449,3449,3449,3449,3449,3449
"Sardine",32,32,32,32,32,32,32,32
"Saw",946,946,946,946,946,946,946,946
"Scare Tactics",528200,528200,528200,528200,528200,528200,528200,528200
"Scentless flask (6)",43700,43700,43700,43700,43700,43700,43700,43700
"Scentless potion (1)",307,307,307,307,307,307,307,307
"Scentless potion (2)",644,644,644,644,644,644,644,644
"Scentless potion (3)",15200,15200,15200,15200,15200,15200,15200,15200
"Scentless potion (4)",16300,16300,16300,16300,16300,16300,16300,16300
"Scimitops (unchecked)",2200000,2200000,2300000,2300000,2300000,2300000,2300000,2300000
"Scimitops blavum (unchec...",1091,1091,1091,1091,1091,1091,1091,1091
"Scimitops meat",4143,4143,4143,4143,4143,4143,4143,4143
"Scimitops palus (uncheck...",1094,1094,1094,1094,1094,1094,1094,1094
"Scrambled egg",61,61,61,61,61,61,61,61
"Scrimshaw of aggression ...",342300,342300,342300,342300,342300,351500,351500,351500
"Scrimshaw of attack",1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
"Scrimshaw of corruption ...",1500000,1500000,1500000,1500000,1500000,1400000,1400000,1400000
"Scrimshaw of cruelty",4200000,4100000,4100000,4100000,4e+06,4e+06,4e+06,4e+06
"Scrimshaw of magic",2200000,2200000,2200000,2200000,2200000,2200000,2200000,2200000
"Scrimshaw of ranging",2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000
"Scrimshaw of sacrifice (...",1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
"Scrimshaw of the element...",4100000,4100000,4100000,4100000,4100000,4e+06,4e+06,4e+06
"Scrimshaw of vampyrism",4200000,4100000,4e+06,4e+06,4e+06,4100000,4100000,4100000
"Sea turtle",2189,2189,2124,2124,2124,2124,2124,2124
"Sea turtle bait",15700,15700,15700,15700,15700,15700,15700,15700
"Seahorse Balloon",449900,449900,449900,449900,449900,449900,449900,449900
"Seahorse follower pet to...",20500000,20500000,20500000,20500000,20500000,20500000,20500000,20500000
"Sealed large rune pouch",13800000,13800000,13600000,13600000,13600000,13900000,13900000,13900000
"Sealed large rune pouch ...",17700000,17700000,17500000,17500000,17500000,17500000,17500000,17500000
"Searing ashes",65100,65100,62500,62500,62700,61400,61400,61400
"Seasinger weapon upgrade...",852000,852000,852000,852000,852000,852100,852100,852100
"Seasinger's hood",2500000,2500000,2500000,2500000,2500000,2400000,2400000,2400000
"Seasinger's robe bottom",4400000,4400000,4400000,4400000,4400000,4300000,4300000,4300000
"Seasinger's robe top",5700000,5700000,5700000,5700000,5700000,5700000,5700000,5700000
"Seaweed",61,61,65,65,69,72,72,72
"Secateurs",943,943,943,943,943,896,896,896
"Second-Age bow",213500000,213500000,213500000,213500000,213500000,213500000,213500000,213500000
"Second-Age full helm",103300000,103300000,103300000,103300000,103300000,103300000,103300000,103300000
"Second-Age mage mask",166100000,166100000,166100000,166100000,166100000,166100000,166100000,166100000
"Second-Age platebody",447800000,447800000,447800000,447800000,447800000,447800000,447800000,447800000
"Second-Age platelegs",6.99e+08,6.99e+08,6.99e+08,6.99e+08,6.99e+08,6.99e+08,6.99e+08,6.99e+08
"Second-Age range coif",8.5e+07,8.5e+07,8.5e+07,8.5e+07,8.5e+07,8.5e+07,8.5e+07,8.5e+07
"Second-Age range legs",2.42e+08,2.42e+08,2.42e+08,2.42e+08,2.42e+08,2.42e+08,2.42e+08,2.42e+08
"Second-Age range top",229600000,229600000,229600000,229600000,229600000,229600000,229600000,229600000
"Second-Age robe bottom",697500000,697500000,697500000,697500000,697500000,697500000,697500000,697500000
"Second-Age robe top",678600000,678600000,678600000,678600000,678600000,678600000,678600000,678600000
"Second-Age staff",174500000,174500000,174500000,174500000,174500000,174500000,174500000,174500000
"Second-Age sword",154200000,154200000,154200000,154200000,154200000,154200000,154200000,154200000
"Security book",296,296,296,296,296,296,296,296
"Seed dibber",234,234,241,241,241,241,241,241
"Seeker's charm",184200,184200,184200,184200,184200,193000,193000,193000
"Seercull",35300,35300,36900,36900,36900,36900,36900,36900
"Seers' ring",73600,73600,73600,73600,73500,73500,73500,73500
"Seers' ring shard",1771,1771,1771,1771,1771,1771,1771,1771
"Seismic singularity",166800000,166800000,168600000,168600000,168600000,168600000,168600000,168600000
"Seismic singularity shar...",614700,614700,614700,614700,614700,614700,614700,614700
"Seismic wand",66200000,66200000,65900000,65900000,65900000,63600000,63600000,63600000
"Seismic wand shard",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Selfie! emote token",63000,63000,66500,66500,75400,84800,84800,84800
"Senntisten teleport",2979,2979,2979,2979,2979,2979,2979,2979
"Seren godbow",848400000,848400000,856400000,856400000,856400000,827600000,827600000,827600000
"Serenic essence",297800,297800,312400,312400,312400,319400,319400,319400
"Shade thrower rest token...",226100,226100,219100,219100,217000,233300,233300,233300
"Shadow dye",748300000,748300000,748300000,748300000,748300000,748300000,748300000,748300000
"Shadow gem cape token",8400000,8400000,8400000,8400000,8400000,8400000,8400000,8400000
"Shadow gem crown token",4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000
"Shadow gem helm token",94700,94700,94700,94700,94700,94700,94700,94700
"Shadow gem magic weapon ...",357700,357700,357700,357700,357700,357700,357700,357700
"Shadow gem melee weapon ...",267100,267100,267100,267100,267100,267100,267100,267100
"Shadow gem necklace toke...",3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000
"Shadow gem ranged weapon...",452900,452900,452900,452900,452900,452900,452900,452900
"Shadow gem sack token",5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000
"Shadow glaive",8700000,8700000,8800000,8800000,8800000,8600000,8600000,8600000
"Shadow glaive shard",31600,31600,31600,31600,31600,31600,31600,31600
"Shadow jadinko (unchecke...",1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000
"Shadow nihil pouch",190700,190700,186100,186100,183400,189800,189800,189800
"Shadowy egg",3.5e+08,3.5e+08,3.5e+08,3.5e+08,3.5e+08,3.5e+08,3.5e+08,3.5e+08
"Shaikahan bones",26600,26600,26600,26600,26600,26600,26600,26600
"Shard of chaos weapon to...",13600000,13600000,13600000,13600000,13600000,13600000,13600000,13600000
"Shard of despite weapon ...",8e+06,8e+06,8e+06,8e+06,8e+06,8e+06,8e+06,8e+06
"Shard of energy weapon t...",174700,174700,174700,174700,174700,174700,174700,174700
"Shard of havoc weapon to...",151800,151800,151800,151800,173800,173800,173800,173800
"Shard of malice weapon t...",133300,133300,133300,133300,133300,133300,133300,133300
"Shard of suffering weapo...",20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000
"Shark",1921,1909,2021,2021,2083,2125,2125,2125
"Shark bait token",4998,5504,6168,6168,7446,8950,8950,8950
"Shark fin token",64900,64900,64900,64900,64900,64900,64900,64900
"Shark jawbone",126,126,126,126,126,126,126,126
"Shaving stand",466,466,466,466,466,466,466,466
"Shears",24,24,24,24,24,24,24,24
"Sheep mask",517300,517300,541100,541100,541100,541100,541100,541100
"Shengo potion (unf)",6210,6210,6210,6210,6210,6210,6210,6210
"Shield left half",65800,65800,65400,65400,66900,68800,68800,68800
"Shield right half",585400,585400,585400,585400,585400,585400,585400,585400
"Shieldbow",1001,1007,1030,1030,1020,1015,1015,1015
"Shieldbow (u)",195,195,192,192,192,192,192,192
"Shinigami orokami mask",374500,374500,374500,374500,374500,374500,374500,374500
"Ship figurehead",15,15,15,15,15,14,14,14
"Shirt",927,927,927,927,927,927,927,927
"Shoe box",9,9,9,9,9,9,9,9
"Short Green Guy",1873,1873,1873,1873,1873,1873,1873,1873
"Shortbow",1001,1001,1033,1033,1033,1028,1028,1028
"Shortbow (u)",329,331,331,331,331,327,327,327
"Shorts",2529,2529,1706,1706,1706,1706,1706,1706
"Shovel sword override to...",27800,27800,27800,27800,27800,27800,27800,27800
"Shrimps",141,141,149,149,149,157,157,157
"Shrunk ogleroot",83,83,83,83,83,83,83,83
"Sickle mould",755,755,755,755,755,755,755,755
"Sign of death",14300,14300,14300,14300,14300,14300,14300,14300
"Sign of item protection",5246,5246,5246,5246,5119,5119,5119,5119
"Sign of life",12700,12700,12100,12100,12100,12000,12000,12000
"Sign of respite I",919,919,919,919,919,919,919,919
"Sign of respite II",1531,1531,1531,1531,1531,1531,1531,1531
"Sign of respite III",2728,2728,2755,2755,2755,2755,2755,2755
"Silk",129,127,122,122,123,122,122,122
"Silver bar",749,749,760,760,759,749,749,749
"Silver bolts",39,39,39,39,39,39,39,39
"Silver bolts (unf)",8,8,8,8,8,8,8,8
"Silver dust",NA,NA,NA,NA,NA,NA,NA,NA
"Silver ore",144,144,146,146,146,146,146,146
"Silver stone spirit",34,34,34,34,34,34,34,34
"Silverhawk feathers",17700,17200,16300,16300,16500,17200,17200,17200
"Sinew",1059,1059,1035,1035,1035,1035,1035,1035
"Sinister key",20100,20100,20700,20700,20700,20900,20900,20900
"Siphon Self scroll",1592,1592,1592,1592,1592,1592,1592,1592
"Sirenic chaps",12300000,11900000,11900000,11900000,11900000,12300000,12300000,12300000
"Sirenic hauberk",18200000,17700000,17700000,17700000,17700000,17900000,17900000,17900000
"Sirenic mask",6300000,6300000,6100000,6100000,6100000,6100000,6100000,6100000
"Sirenic scale",358700,360700,362700,362700,360900,371700,371700,371700
"Skeletal armour set",689100,689100,689100,689100,689100,689100,689100,689100
"Skeletal bear pet token",288900,288900,288900,288900,288900,288900,288900,288900
"Skeletal boots",125200,125200,125200,125200,125200,125200,125200,125200
"Skeletal bottoms",47200,47200,47200,47200,47200,47200,47200,47200
"Skeletal gloves",90300,90300,90300,90300,90300,90300,90300,90300
"Skeletal helm",26800,26800,28000,28000,28000,28000,28000,28000
"Skeletal top",48700,48700,48700,48700,48700,50800,50800,50800
"Skewer stick",12,12,12,12,12,12,12,12
"Skewered beast",106,106,106,106,106,106,106,106
"Skewered bird meat",159,159,159,159,159,159,159,159
"Skewered chompy",378,378,378,378,378,378,378,378
"Skewered kebab",187,187,187,187,187,187,187,187
"Skewered rabbit",124,124,124,124,124,124,124,124
"Skills necklace",11200,11200,10900,10900,10900,10900,10900,10900
"Skills necklace (4)",12500,12500,12700,12700,12700,12700,12700,12700
"Skirt",1112,1112,913,913,913,913,913,913
"Skull piece",2288,2288,2288,2288,2288,2288,2288,2288
"Sky-blue poison frog (un...",1512,1512,1512,1512,1512,1512,1512,1512
"Slayer bell",59,59,59,59,59,59,59,59
"Slayer respite (m1)",4134,4134,4134,4134,4134,4134,4134,4134
"Slayer respite (m2)",7505,7505,7505,7505,7505,7505,7505,7505
"Slayer respite (m3)",11600,11600,11600,11600,11600,11600,11600,11600
"Slayer respite (m4)",20800,20800,20800,20800,20800,20800,20800,20800
"Slayer's respite",2181,2181,2181,2181,2181,2181,2181,2181
"Slayer's respite (1)",1199,1199,1199,1199,1199,1199,1199,1199
"Slayer's respite (2)",2166,2166,2166,2166,2166,2166,2166,2166
"Slayer's respite (3)",3188,3188,3188,3188,3188,3188,3188,3188
"Slayer's respite (4)",2996,2996,2996,2996,2996,2996,2996,2996
"Slayer's respite (m)",3244,3244,3244,3244,3244,3244,3244,3244
"Slayer's staff",13800,13800,13600,13600,13600,13600,13600,13600
"Sleeping cap",623600,623600,623600,623600,653800,653800,653800,653800
"Slice of bacon cheesecak...",94,94,94,94,94,94,94,94
"Slice of cake",1035,1035,1035,1035,1035,1035,1035,1035
"Slice of cheesecake",8,8,8,8,8,8,8,8
"Slice of chocolate chees...",40,40,40,40,40,40,40,40
"Slice of lemon cheesecak...",67,67,67,67,67,67,67,67
"Slice of strawberry chee...",54,54,54,54,54,54,54,54
"Slice of vanilla cheesec...",27,27,27,27,27,27,27,27
"Sliced banana",332,332,332,332,332,332,332,332
"Sliced mushrooms",NA,NA,NA,NA,NA,NA,NA,NA
"Slime Spray scroll",25,25,25,25,25,25,25,25
"Slimy eel",329,329,329,329,329,324,324,324
"Sliskean essence",12600000,12600000,12600000,12600000,12600000,1.2e+07,1.2e+07,1.2e+07
"Small bladed adamant sal...",3134,3264,3264,3264,3284,3284,3284,3284
"Small bladed bronze salv...",103,103,103,103,103,103,103,103
"Small bladed iron salvag...",402,402,402,402,402,402,402,402
"Small bladed mithril sal...",2539,2539,2525,2525,2525,2574,2574,2574
"Small bladed rune salvag...",14500,14500,14500,14500,14500,14500,14500,14500
"Small bladed steel salva...",2068,2068,2068,2068,2096,2096,2096,2096
"Small blunt adamant salv...",3010,3010,3010,3010,3010,3088,3088,3088
"Small blunt bronze salva...",67,67,67,67,67,67,67,67
"Small blunt iron salvage...",236,236,236,236,236,236,236,236
"Small blunt mithril salv...",2162,2162,2162,2162,2162,2162,2162,2162
"Small blunt rune salvage...",14700,14700,14700,14700,14700,14700,14700,14700
"Small blunt steel salvag...",861,861,861,861,861,861,861,861
"Small crate (classic com...",2800000,2800000,2800000,2800000,2700000,2700000,2700000,2700000
"Small crate (historic co...",579100,579100,573900,573900,548100,551600,551600,551600
"Small crate (timeworn co...",299700,299700,314300,314300,314300,309900,309900,309900
"Small crate (vintage com...",437200,429400,429400,429400,439400,439400,439400,439400
"Small fishing net",416,423,423,423,432,432,432,432
"Small plated adamant sal...",2909,2909,2798,2798,2747,2756,2756,2756
"Small plated bronze salv...",188,188,198,198,198,198,198,198
"Small plated iron salvag...",410,410,410,410,410,405,405,405
"Small plated mithril sal...",1037,1037,1089,1089,1089,1043,1043,1043
"Small plated rune salvag...",14600,14600,14600,14600,14600,14600,14600,14600
"Small plated steel salva...",906,906,906,906,906,906,906,906
"Small spiky adamant salv...",2821,2821,2821,2821,2821,2881,2881,2881
"Small spiky bronze salva...",104,104,104,104,104,104,104,104
"Small spiky iron salvage...",289,289,289,289,289,289,289,289
"Small spiky mithril salv...",2048,2048,2048,2048,2048,2048,2048,2048
"Small spiky rune salvage...",15000,14700,14600,14600,14600,14800,14800,14800
"Small spiky steel salvag...",574,574,590,590,590,590,590,590
"Smoke devil pouch",8130,8130,7846,7846,7846,7760,7760,7760
"Smoke nihil pouch",174400,174400,169500,169500,169500,169500,169500,169500
"Smoke rune",1013,972,972,972,936,973,973,973
"Snake hide",11100,11100,NA,NA,NA,NA,NA,NA
"Snakeskin",NA,NA,NA,NA,NA,NA,NA,NA
"Snakeskin bandana",1729,1729,1729,1729,1729,1729,1729,1729
"Snakeskin body",70900,70900,73400,73400,73400,73400,73400,73400
"Snakeskin boots",1367,1367,1367,1367,1436,1436,1436,1436
"Snakeskin chaps",3019,3019,3098,3098,3098,3098,3098,3098
"Snakeskin vambraces",8461,8461,8461,8461,8461,8461,8461,8461
"Snapdragon incense stick...",3780,3780,3780,3780,3780,3780,3780,3780
"Snapdragon potion (unf)",NA,NA,NA,NA,NA,NA,NA,NA
"Snapdragon seed",435,435,438,438,443,429,429,429
"Snape grass",173,171,171,171,171,174,174,174
"Snape grass seed",1035,1035,1035,1035,1059,1059,1059,1059
"Snow cape token",8e+06,8e+06,8e+06,8e+06,8e+06,8e+06,8e+06,8e+06
"Snow parasol",3300000,3300000,3300000,3300000,3300000,3800000,3800000,3800000
"Snowman building rest to...",2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06
"Snowman pet token",1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000
"Snowverload plush token",33500,33500,33500,33500,33500,33500,33500,33500
"Snowy knight",370,370,370,370,370,370,370,370
"Soapstone",2006,2006,2106,2106,2200,2246,2246,2246
"Soda ash",8,8,8,8,8,9,9,9
"Soft clay",495,493,527,527,554,599,599,599
"Sophanem Slayer Dungeon ...",6742,6742,6610,6610,6279,5965,5965,5965
"Soul Food scroll",6833,6833,6833,6833,6833,6603,6603,6603
"Soul ornament kit",16100000,16100000,17700000,17700000,18600000,20300000,20300000,20300000
"Soul rune",2856,2761,2503,2503,2377,2145,2145,2145
"Soul talisman",4495,4495,4330,4330,4330,4182,4182,4182
"Soul tiara",13700,13700,13700,13700,13700,13700,13700,13700
"Spade",587,564,546,546,563,577,577,577
"Spark chitin",948,948,931,931,899,858,858,858
"Sparkling energy",212,212,206,206,202,206,206,206
"Spear of Annihilation",148600000,148600000,148600000,148600000,148600000,148600000,148600000,148600000
"Spectral sigil",591000,591000,591000,591000,591000,591000,591000,591000
"Spectral sigil shard",6567,6567,6567,6567,6567,6567,6567,6567
"Spectral spirit shield",1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
"Spellstorm drape",621,621,621,621,621,621,621,621
"Spicati apoterrasaur (un...",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Spicati apoterrasaur mea...",4174,4174,4174,4174,4174,4174,4174,4174
"Spicati apoterrasaur pur...",1089,1089,1089,1089,1089,1089,1089,1089
"Spicati apoterrasaur til...",1091,1091,1091,1091,1091,1091,1091,1091
"Spice",231,231,226,226,220,219,219,219
"Spicy crunchies",170,170,170,170,170,170,170,170
"Spicy minced meat",679,679,679,679,679,679,679,679
"Spicy sauce",124,124,124,124,124,124,124,124
"Spicy tomato",443,443,443,443,443,443,443,443
"Spider carcass",NA,NA,NA,NA,NA,NA,NA,NA
"Spider egg (unchecked)",172200,172200,168100,168100,163000,164000,164000,164000
"Spider fangs",NA,NA,NA,NA,NA,NA,NA,NA
"Spider leg",141300000,141300000,141300000,141300000,146100000,146100000,146100000,146100000
"Spider on shaft",133,133,104,104,104,104,104,104
"Spider on stick",332,332,88,88,88,88,88,88
"Spider orb",1009,1009,1042,1042,1042,1042,1042,1042
"Spider silk",205,198,207,207,217,231,231,231
"Spider silk boots",507,507,507,507,507,507,507,507
"Spider silk gloves",511,511,511,511,511,511,511,511
"Spider silk hood",972,972,965,965,965,965,965,965
"Spider silk robe bottom",NA,NA,NA,NA,NA,NA,NA,NA
"Spider silk robe top",NA,NA,NA,NA,NA,NA,NA,NA
"Spider silk shield",NA,NA,NA,NA,NA,NA,NA,NA
"Spider venom",288,278,269,269,282,300,300,300
"Spider wand",1817,1817,1817,1817,1817,1819,1819,1819
"Spike Shot scroll",128,128,128,128,128,128,128,128
"Spiked helmet",586500,586500,610500,610500,610500,610500,610500,610500
"Spiky vambraces",156,156,156,156,156,156,156,156
"Spined armour set",174900,174900,174900,174900,174900,174900,174900,174900
"Spined body",9648,9648,9648,9648,9779,9779,9779,9779
"Spined boots",3956,3956,3956,3956,3956,3956,3956,3956
"Spined chaps",7885,7885,7738,7738,7738,7738,7738,7738
"Spined gloves",3121,3121,3121,3121,3121,3121,3121,3121
"Spined helm",37500,37500,38300,38300,38300,38300,38300,38300
"Spiny helmet",966,966,966,966,966,921,921,921
"Spirit cobra pouch",11800,11800,11800,11800,11800,11800,11800,11800
"Spirit cockatrice pouch",1614,1614,1614,1614,1614,1614,1614,1614
"Spirit coraxatrice pouch...",1695,1695,1695,1695,1695,1695,1695,1695
"Spirit dagannoth pouch",1762,1762,1762,1762,1762,1694,1694,1694
"Spirit graahk pouch",2841,2841,2841,2841,2841,2841,2841,2841
"Spirit guthatrice pouch",1629,1629,1629,1629,1629,1629,1629,1629
"Spirit impling jar",9135,9135,9135,9135,9135,9135,9135,9135
"Spirit jelly pouch",2751,2751,2751,2751,2751,2751,2751,2751
"Spirit kalphite pouch",2931,2931,2931,2931,2931,2884,2884,2884
"Spirit kyatt pouch",3355,3355,3355,3355,3355,3355,3355,3355
"Spirit larupia pouch",2854,2854,2854,2854,2854,2854,2854,2854
"Spirit mosquito pouch",685,685,685,685,685,685,685,685
"Spirit pengatrice pouch",1676,1676,1676,1676,1676,1676,1676,1676
"Spirit saratrice pouch",1639,1639,1639,1639,1639,1639,1639,1639
"Spirit scorpion pouch",1089,1089,1072,1072,1072,1072,1072,1072
"Spirit shards",23,24,23,23,23,21,21,21
"Spirit shield",39100,39100,39100,39100,38400,38400,38400,38400
"Spirit spider pouch",520,520,520,520,520,520,520,520
"Spirit terrorbird pouch",798,798,777,777,807,807,807,807
"Spirit tz-kih pouch",1157,1157,1157,1157,1157,1157,1157,1157
"Spirit vulatrice pouch",2528,2528,2528,2528,2528,2528,2528,2528
"Spirit weed incense stic...",35500,35900,35900,35900,36500,36500,36500,36500
"Spirit weed potion (unf)...",19900,19900,19900,19900,20300,20300,20300,20300
"Spirit weed seed",84800,87400,93800,93800,98100,104400,104400,104400
"Spirit wolf pouch",358,358,354,354,354,360,360,360
"Spirit yak (unchecked)",199400,199400,190600,190600,183300,175900,175900,175900
"Spirit zamatrice pouch",1661,1661,1661,1661,1661,1661,1661,1661
"Spiritual prayer potion ...",32900,32900,32600,32600,33900,35400,35400,35400
"Split log",559,559,559,559,559,559,559,559
"Splitbark armour set",264800,264800,264800,264800,264800,267800,267800,267800
"Splitbark body",25900,25900,25200,25200,25200,25700,25700,25700
"Splitbark boots",NA,NA,NA,NA,NA,NA,NA,NA
"Splitbark gauntlets",NA,NA,NA,NA,NA,NA,NA,NA
"Splitbark helm",NA,NA,NA,NA,NA,NA,NA,NA
"Splitbark legs",79600,79600,79600,79600,79600,83200,83200,83200
"Splitbark orb",16800,16800,16800,16800,16800,16800,16800,16800
"Splitbark shield",14900,14900,14900,14900,14900,15300,15300,15300
"Splitbark wand",15200,15200,15200,15200,15300,15300,15300,15300
"Spotted cape",1357,1357,1357,1357,1357,1357,1357,1357
"Spotted kebbit fur",52,52,52,52,52,52,52,52
"Spottier cape",3608,3608,3608,3608,3608,3608,3608,3608
"Spring",3055,3059,3045,3045,3018,2985,2985,2985
"Springsheared ewe (unche...",17500,17500,17500,17500,17500,17500,17500,17500
"Springsheared ram (unche...",12900,12900,12900,12900,12900,12600,12600,12600
